city,timestamp,temperature,feels_like,pressure,humidity,wind_speed,weather_description
Moscow,2025-06-18 00:18:41,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:19:58,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:17:14,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:15:08,12.77,12.71,1004,100,0,clear sky
Nizhny Novgorod,2025-06-18 00:19:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:15:42,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:17:49,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:15:33,21.94,21.97,1003,68,1,clear sky
Rostov-on-Don,2025-06-18 00:19:58,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:17:18,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:16:25,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:16:43,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:19:59,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:19:50,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:19:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:15:20,10.63,10.15,1006,92,1.79,clear sky
Barnaul,2025-06-18 00:16:49,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:15:32,18.89,18.48,1004,63,7,clear sky
Vladivostok,2025-06-18 00:15:29,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:19:18,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:18:41,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:19:58,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:17:14,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:15:08,12.77,12.71,1004,100,0,clear sky
Nizhny Novgorod,2025-06-18 00:19:58,6.73,6.73,1008,93,1,clear sky
Kazan’,2025-06-18 00:15:42,12.34,11.98,1006,90,2.81,scattered clouds
Chelyabinsk,2025-06-18 00:17:49,17.25,17.04,1004,77,2,light rain
Omsk,2025-06-18 00:15:33,21.94,21.97,1003,68,1,clear sky
Rostov-on-Don,2025-06-18 00:19:58,17.27,17.32,1010,87,3.59,overcast clouds
Ufa,2025-06-18 00:17:18,12.65,12.53,1003,98,1.56,overcast clouds
Volgograd,2025-06-18 00:16:25,14.43,14.38,1007,94,3,clear sky
Krasnoyarsk,2025-06-18 00:16:43,16.22,15.44,1012,59,1.31,few clouds
Saratov,2025-06-18 00:19:59,14.42,13.46,1005,59,2.82,clear sky
Tyumen,2025-06-18 00:19:50,13.05,13.02,1004,100,3,fog
Tolyatti,2025-06-18 00:19:59,11.52,11.16,1004,93,4.37,scattered clouds
Izhevsk,2025-06-18 00:15:20,10.63,10.15,1006,92,1.79,clear sky
Barnaul,2025-06-18 00:16:49,19.4,19.28,1008,72,2,clear sky
Khabarovsk,2025-06-18 00:15:32,18.89,18.48,1004,63,7,clear sky
Vladivostok,2025-06-18 00:15:29,16.98,16.93,1009,84,1.89,few clouds
Kaliningrad,2025-06-18 00:19:18,15.03,14.83,1017,86,5.38,broken clouds
Moscow,2025-06-18 00:18:41,16.38,16.08,1005,77,1.67,overcast clouds
Saint Petersburg,2025-06-18 00:19:58,15.08,14.94,1004,88,4,broken clouds
Novosibirsk,2025-06-18 00:17:14,18.61,19.14,1008,100,2,clear sky
Ekaterinburg,2025-06-18 00:15:08,12.77,12.71,1004,100,0,clear sky
Nizhny Novgorod,2025-06-18 00:19:58,6.73,6.73,1008,93,1,clear sky
